ts,node,temp_c,hum,t_max,t_min,fault
2026-03-02 10:00:00,node-c,,61.6,25.04,18.21,0
2026-03-02 10:00:00,node-d,21.64,59.8,25.30,18.28,0
2026-03-02 10:00:00, NODE-E ,23.13,54.0,26.52,18.95,0
2026-03-02 10:00:00,node-f,23.83,53.2,26.85,20.18,1
2026-03-02 10:15:00,node-a,19.48,63.6,24.03,17.78,0
2026-03-02 10:15:00,node-a,19.48,63.6,24.03,17.78,0
2026-03-02 10:15:00,node-b,21.17,63.9,24.03,17.71,0
2026-03-02 10:15:00,node-c,22.45,77.7,25.04,18.21,0
2026-03-02 10:15:00,node-d,22.05,57.6,25.30,18.28,0
2026-03-02 10:15:00,node-e,22.85,54.4,26.52,18.95,1
2026-03-02 10:15:00,node-f,,64.0,26.85,20.18,1
2026-03-02 10:30:00,node-a,19.69,53.8,24.03,17.78,0
2026-03-02 10:30:00,node-b,21.52,65.4,24.03,17.71,0
2026-03-02 10:30:00,node-c,21.16,61.1,25.04,18.21,0
2026-03-02 10:30:00,node-d ,21.91,56.5,25.30,18.28,1
2026-03-02 10:30:00,node-e,23.27,,26.52,18.95,0
2026-03-02 10:30:00,node-e,23.27,,26.52,18.95,0
2026-03-02 10:30:00,node-f,23.49,49.4,26.85,20.18,1
2026-03-02 10:45:00,node-a,20.78,62.0,24.03,17.78,0
2026-03-02 10:45:00,node-b,22.09,59.7,24.03,17.71,0
2026-03-02 10:45:00,NODE-C,22.84,54.7,25.04,18.21,0
2026-03-02 10:45:00,node-d,21.37,45.4,25.30,18.28,0
2026-03-02 10:45:00,node-e,21.87,56.8,26.52,18.95,0
2026-03-02 10:45:00,node-f,22.96,53.4,26.85,20.18,1
2026-03-02 11:00:00,node-a,20.08,67.6,24.03,17.78,0
2026-03-02 11:00:00,node-b,22.87,55.5,24.03,17.71,0
2026-03-02 11:00:00,node-c,23.33,53.1,25.04,18.21,0
2026-03-02 11:00:00,node-d,21.39,55.1,25.30,18.28,0
2026-03-02 11:00:00,node-e,23.88,55.4,26.52,18.95,0
2026-03-02 11:00:00,node-f,23.15,41.2,26.85,20.18,1
2026-03-02 11:15:00,node-a,21.27,61.6,24.03,17.78,0
2026-03-02 11:15:00,node-b,20.66,52.3,24.03,17.71,0
2026-03-02 11:15:00,node-c,21.03,64.5,25.04,18.21,0
2026-03-02 11:15:00,node-d,22.88,55.7,25.30,18.28,1
2026-03-02 11:15:00,node-e,21.94,56.4,26.52,18.95,0
2026-03-02 11:15:00,node-f,23.69,52.1,26.85,20.18,1
2026-03-02 11:30:00,node-a ,22.54,55.1,24.03,17.78,0
2026-03-02 11:30:00,node-b,21.63,58.9,24.03,17.71,0
2026-03-02 11:30:00,node-c,22.78,61.9,25.04,18.21,0
2026-03-02 11:30:00,node-d,22.46,60.4,25.30,18.28,0
2026-03-02 11:30:00,node-e,,44.8,26.52,18.95,1
2026-03-02 11:30:00, NODE-F ,25.36,73.3,26.85,20.18,1
2026-03-02 11:45:00,node-a,20.91,57.4,24.03,17.78,0
2026-03-02 11:45:00,node-b,21.79,53.9,24.03,17.71,0
2026-03-02 11:45:00,node-c,21.92,57.0,25.04,18.21,0
2026-03-02 11:45:00,node-d,22.82,49.0,25.30,18.28,0
2026-03-02 11:45:00,node-e,23.10,39.2,26.52,18.95,1
2026-03-02 11:45:00,node-f,24.37,44.9,26.85,20.18,1
2026-03-02 12:00:00,node-a,22.03,48.4,24.03,17.78,0
2026-03-02 12:00:00,node-b,21.78,56.0,24.03,17.71,0
2026-03-02 12:00:00,node-c,22.50,62.5,25.04,18.21,0
2026-03-02 12:00:00,node-d,23.66,47.1,25.30,18.28,1
2026-03-02 12:00:00,node-e,24.73,45.8,26.52,18.95,1
2026-03-02 12:00:00,node-f,26.07,44.1,26.85,20.18,1
2026-03-02 12:15:00,node-a,21.72,62.0,24.03,17.78,0
2026-03-02 12:15:00,node-b,22.22,55.4,24.03,17.71,0
2026-03-02 12:15:00,node-c,23.39,60.6,25.04,18.21,0
2026-03-02 12:15:00,node-d ,22.62,56.1,25.30,18.28,0
2026-03-02 12:15:00,node-e,23.37,51.7,26.52,18.95,1
2026-03-02 12:15:00,node-f,24.81,46.9,26.85,20.18,1
2026-03-02 12:30:00,node-a,22.19,61.7,24.03,17.78,0
2026-03-02 12:30:00,node-b,21.46,54.2,24.03,17.71,0
2026-03-02 12:30:00, NODE-C ,22.01,56.1,25.04,18.21,1
2026-03-02 12:30:00,node-d,23.42,47.9,25.30,18.28,1
2026-03-02 12:30:00,node-e,25.14,54.4,26.52,18.95,1
2026-03-02 12:30:00,node-e,25.14,54.4,26.52,18.95,1
2026-03-02 12:30:00,node-f,25.53,57.5,26.85,20.18,1
2026-03-02 12:45:00,node-a,21.46,,24.03,17.78,0
2026-03-02 12:45:00,node-b,22.90,54.3,24.03,17.71,0
2026-03-02 12:45:00,node-c,22.92,52.3,25.04,18.21,0
2026-03-02 12:45:00,node-d,22.65,46.8,25.30,18.28,0
2026-03-02 12:45:00,node-e,24.66,63.9,26.52,18.95,1
2026-03-02 12:45:00,node-f,25.90,42.2,26.85,20.18,1
2026-03-02 13:00:00,node-a,20.77,57.3,24.03,17.78,0
2026-03-02 13:00:00,node-b,21.90,51.9,24.03,17.71,0
2026-03-02 13:00:00,node-c,24.25,55.2,25.04,18.21,1
2026-03-02 13:00:00,node-d,23.94,47.5,25.30,18.28,1
2026-03-02 13:00:00,node-e,24.50,58.9,26.52,18.95,1
2026-03-02 13:00:00,node-f,25.05,58.9,26.85,20.18,1
2026-03-02 13:15:00,NODE-A,22.16,54.3,24.03,17.78,0
2026-03-02 13:15:00,node-b,21.93,57.2,24.03,17.71,0
2026-03-02 13:15:00,node-c,23.96,61.1,25.04,18.21,0
2026-03-02 13:15:00,node-d,24.45,43.0,25.30,18.28,1
2026-03-02 13:15:00,node-e,24.92,43.5,26.52,18.95,1
2026-03-02 13:15:00, NODE-F ,25.29,41.5,26.85,20.18,1
2026-03-02 13:30:00,node-a,22.38,59.8,24.03,17.78,0
2026-03-02 13:30:00,node-b,22.62,56.2,24.03,17.71,1
2026-03-02 13:30:00,node-c,23.47,43.6,25.04,18.21,0
2026-03-02 13:30:00,node-d,24.81,44.5,25.30,18.28,1
2026-03-02 13:30:00,node-e,25.58,38.8,26.52,18.95,1
2026-03-02 13:30:00,node-f,24.55,34.3,26.85,20.18,1
2026-03-02 13:45:00,node-a,22.56,60.7,24.03,17.78,0
2026-03-02 13:45:00,node-b,23.33,57.1,24.03,17.71,0
2026-03-02 13:45:00,node-c,23.75,50.5,25.04,18.21,1
2026-03-02 13:45:00,node-d,23.99,,25.30,18.28,0
2026-03-02 13:45:00,node-e,25.06,45.9,26.52,18.95,1
2026-03-02 13:45:00,node-f,24.30,46.9,26.85,20.18,0
2026-03-02 14:00:00,node-a,23.43,53.7,24.03,17.78,0
2026-03-02 14:00:00,node-b,23.73,52.0,24.03,17.71,0
2026-03-02 14:00:00,node-c,23.62,46.4,25.04,18.21,1
2026-03-02 14:00:00,NODE-D,23.10,42.3,25.30,18.28,1
2026-03-02 14:00:00,node-e,26.07,54.0,26.52,18.95,1
2026-03-02 14:00:00,node-f,25.42,40.5,26.85,20.18,1
2026-03-02 14:15:00,node-a,22.37,,24.03,17.78,0
2026-03-02 14:15:00,node-b,22.87,43.9,24.03,17.71,0
2026-03-02 14:15:00, NODE-C ,24.26,55.0,25.04,18.21,1
2026-03-02 14:15:00,node-d,23.82,,25.30,18.28,1
2026-03-02 14:15:00,node-e,24.98,,26.52,18.95,1
2026-03-02 14:15:00,node-f,24.90,48.1,26.85,20.18,1
2026-03-02 14:30:00,node-a,22.72,68.5,24.03,17.78,0
2026-03-02 14:30:00,node-b,22.59,49.6,24.03,17.71,1
2026-03-02 14:30:00,node-c,23.30,54.4,25.04,18.21,1
2026-03-02 14:30:00,node-d,24.82,44.7,25.30,18.28,1
2026-03-02 14:30:00,node-e,25.47,51.6,26.52,18.95,1
2026-03-02 14:30:00,node-f,26.34,46.2,26.85,20.18,1
2026-03-02 14:45:00,node-a,22.56,51.1,24.03,17.78,0
2026-03-02 14:45:00,node-b ,21.66,46.6,24.03,17.71,0
2026-03-02 14:45:00,node-c,24.28,43.2,25.04,18.21,1
2026-03-02 14:45:00,node-d,23.98,60.6,25.30,18.28,0
2026-03-02 14:45:00,node-e,26.22,47.9,26.52,18.95,1
2026-03-02 14:45:00,node-f,25.34,33.8,26.85,20.18,1
2026-03-02 14:45:00,node-f,25.34,33.8,26.85,20.18,1
2026-03-02 15:00:00,NODE-A,21.81,54.2,24.03,17.78,0
2026-03-02 15:00:00,node-b,22.82,52.5,24.03,17.71,0
2026-03-02 15:00:00,node-c,23.49,54.9,25.04,18.21,1
2026-03-02 15:00:00,node-d,,48.5,25.30,18.28,1
2026-03-02 15:00:00,node-e,25.64,48.2,26.52,18.95,1
2026-03-02 15:00:00,node-f,26.55,46.4,26.85,20.18,1
2026-03-02 15:15:00,node-a,22.87,46.6,24.03,17.78,1
2026-03-02 15:15:00,node-b,22.58,51.2,24.03,17.71,0
2026-03-02 15:15:00,node-c,23.82,60.5,25.04,18.21,1
2026-03-02 15:15:00,node-d,23.50,41.4,25.30,18.28,1
2026-03-02 15:15:00,node-e,24.25,58.4,26.52,18.95,1
2026-03-02 15:15:00,node-f,24.50,51.1,26.85,20.18,1
2026-03-02 15:30:00,node-a,22.81,60.6,24.03,17.78,0
2026-03-02 15:30:00,node-b,23.34,52.1,24.03,17.71,0
2026-03-02 15:30:00,node-c,22.08,50.9,25.04,18.21,0
2026-03-02 15:30:00,node-d,23.10,48.6,25.30,18.28,1
2026-03-02 15:30:00,node-e ,24.19,46.1,26.52,18.95,1
2026-03-02 15:30:00,node-f,26.27,52.6,26.85,20.18,1
2026-03-02 15:45:00,node-a,22.31,58.0,24.03,17.78,0
2026-03-02 15:45:00,node-b,22.55,35.6,24.03,17.71,1
2026-03-02 15:45:00,node-c,24.74,47.8,25.04,18.21,1
2026-03-02 15:45:00, NODE-D ,23.09,62.1,25.30,18.28,0
2026-03-02 15:45:00,node-e,25.54,,26.52,18.95,1
2026-03-02 15:45:00,node-f,24.99,47.1,26.85,20.18,1
2026-03-02 16:00:00,node-a,22.80,52.4,24.03,17.78,0
2026-03-02 16:00:00,node-b,21.94,40.6,24.03,17.71,0
2026-03-02 16:00:00,node-c,24.23,48.8,25.04,18.21,1
2026-03-02 16:00:00,node-d,24.81,42.1,25.30,18.28,1
2026-03-02 16:00:00,node-e,24.20,52.8,26.52,18.95,1
2026-03-02 16:00:00,node-f,25.28,41.2,26.85,20.18,1
2026-03-02 16:15:00,node-a,22.58,64.1,24.03,17.78,0
2026-03-02 16:15:00,node-b,22.55,63.8,24.03,17.71,0
2026-03-02 16:15:00,node-c,23.51,44.8,25.04,18.21,1
2026-03-02 16:15:00,node-c,23.51,44.8,25.04,18.21,1
2026-03-02 16:15:00,node-d,24.98,,25.30,18.28,0
2026-03-02 16:15:00,node-e,23.73,50.1,26.52,18.95,1
2026-03-02 16:15:00,node-e,23.73,50.1,26.52,18.95,1
2026-03-02 16:15:00,node-f,25.01,37.3,26.85,20.18,1
2026-03-02 16:30:00,node-a,22.25,60.0,24.03,17.78,0
2026-03-02 16:30:00,node-b ,22.13,53.8,24.03,17.71,0
2026-03-02 16:30:00,node-b ,22.13,53.8,24.03,17.71,0
2026-03-02 16:30:00,node-c,22.04,52.3,25.04,18.21,0
2026-03-02 16:30:00,node-d,24.05,51.3,25.30,18.28,1
2026-03-02 16:30:00,node-e,23.72,48.1,26.52,18.95,1
2026-03-02 16:30:00,node-f,24.33,56.6,26.85,20.18,1
2026-03-02 16:45:00, NODE-A ,22.59,62.1,24.03,17.78,0
2026-03-02 16:45:00,node-b,23.33,51.1,24.03,17.71,0
2026-03-02 16:45:00,node-c,23.86,43.7,25.04,18.21,1
2026-03-02 16:45:00,node-d,23.81,49.2,25.30,18.28,1
2026-03-02 16:45:00,node-e,24.18,44.6,26.52,18.95,1
2026-03-02 16:45:00,node-f,23.85,,26.85,20.18,1
2026-03-02 17:00:00,node-a,22.98,59.4,24.03,17.78,0
2026-03-02 17:00:00,node-b,,55.9,24.03,17.71,0
2026-03-02 17:00:00,node-c,22.80,57.3,25.04,18.21,0
2026-03-02 17:00:00,node-d,24.49,50.3,25.30,18.28,1
2026-03-02 17:00:00,node-e,24.41,47.0,26.52,18.95,1
2026-03-02 17:00:00,node-f,24.28,60.9,26.85,20.18,0
2026-03-02 17:15:00,node-a,23.73,51.1,24.03,17.78,1
2026-03-02 17:15:00,node-b,22.98,61.2,24.03,17.71,1
2026-03-02 17:15:00,node-c,23.87,45.7,25.04,18.21,1
2026-03-02 17:15:00,node-d,25.00,56.4,25.30,18.28,1
2026-03-02 17:15:00,NODE-E,24.26,55.8,26.52,18.95,1
2026-03-02 17:15:00,node-f,25.26,48.3,26.85,20.18,1
2026-03-02 17:15:00,node-f,25.26,48.3,26.85,20.18,1
2026-03-02 17:30:00,node-a,22.08,65.2,24.03,17.78,0
2026-03-02 17:30:00,node-b,22.57,60.0,24.03,17.71,1
2026-03-02 17:30:00,node-c,22.20,51.2,25.04,18.21,0
2026-03-02 17:30:00, NODE-D ,22.73,55.9,25.30,18.28,1
2026-03-02 17:30:00,node-e,24.14,41.0,26.52,18.95,1
2026-03-02 17:30:00,node-f,23.73,60.2,26.85,20.18,0
2026-03-02 17:45:00,node-a,20.59,45.2,24.03,17.78,0
2026-03-02 17:45:00,node-b,22.51,59.3,24.03,17.71,1
2026-03-02 17:45:00,node-c,22.20,55.9,25.04,18.21,0
2026-03-02 17:45:00,node-d,24.18,56.8,25.30,18.28,0
2026-03-02 17:45:00,node-e,23.87,63.6,26.52,18.95,0
2026-03-02 17:45:00,node-f,,51.8,26.85,20.18,1
2026-03-02 18:00:00,node-a,21.40,58.4,24.03,17.78,0
2026-03-02 18:00:00,node-b,22.22,63.5,24.03,17.71,0
2026-03-02 18:00:00,node-c,23.13,68.0,25.04,18.21,0
2026-03-02 18:00:00,node-d,22.11,51.2,25.30,18.28,1
2026-03-02 18:00:00,node-e,23.88,62.9,26.52,18.95,1
2026-03-02 18:00:00,node-f,23.93,52.1,26.85,20.18,1
2026-03-02 18:15:00,node-a,21.58,58.9,24.03,17.78,0
2026-03-02 18:15:00,NODE-B,21.28,56.1,24.03,17.71,0
2026-03-02 18:15:00,node-c,20.89,53.7,25.04,18.21,0
2026-03-02 18:15:00,node-d,22.46,60.0,25.30,18.28,1
2026-03-02 18:15:00,node-e,23.94,50.8,26.52,18.95,1
2026-03-02 18:15:00,node-f,24.26,53.8,26.85,20.18,1
2026-03-02 18:30:00, NODE-A ,22.03,62.0,24.03,17.78,0
2026-03-02 18:30:00,node-b,22.42,54.6,24.03,17.71,0
2026-03-02 18:30:00,node-c,22.97,59.1,25.04,18.21,0
2026-03-02 18:30:00,node-d,22.58,68.3,25.30,18.28,0
2026-03-02 18:30:00,node-e,23.29,48.0,26.52,18.95,1
2026-03-02 18:30:00,node-f,24.76,41.3,26.85,20.18,1
2026-03-02 18:45:00,node-a,20.84,59.2,24.03,17.78,0
2026-03-02 18:45:00,node-b,21.73,59.4,24.03,17.71,0
2026-03-02 18:45:00,node-c,21.88,61.6,25.04,18.21,0
2026-03-02 18:45:00,node-d,22.58,51.5,25.30,18.28,0
2026-03-02 18:45:00,node-e,22.34,49.7,26.52,18.95,0
2026-03-02 18:45:00,node-f ,23.32,62.4,26.85,20.18,0
2026-03-02 19:00:00,node-a,21.46,59.3,24.03,17.78,0
2026-03-02 19:00:00,node-b,21.80,57.5,24.03,17.71,0
2026-03-02 19:00:00,node-c,22.48,72.3,25.04,18.21,0
2026-03-02 19:00:00,node-d,22.81,52.1,25.30,18.28,1
2026-03-02 19:00:00,NODE-E,22.84,66.9,26.52,18.95,1
2026-03-02 19:00:00,node-f,23.40,53.6,26.85,20.18,0
2026-03-02 19:15:00,node-a,21.04,59.0,24.03,17.78,0
2026-03-02 19:15:00,node-b,20.06,58.4,24.03,17.71,0
2026-03-02 19:15:00,node-c,21.78,63.6,25.04,18.21,0
2026-03-02 19:15:00,node-d,24.40,56.3,25.30,18.28,1
2026-03-02 19:15:00,node-e,23.60,54.4,26.52,18.95,1
2026-03-02 19:15:00,node-f,24.10,50.7,26.85,20.18,1
2026-03-02 19:30:00,node-a,21.86,73.0,24.03,17.78,0
2026-03-02 19:30:00,node-b,20.80,71.4,24.03,17.71,0
2026-03-02 19:30:00,node-c,22.72,57.5,25.04,18.21,0
2026-03-02 19:30:00,node-d,21.95,,25.30,18.28,0
2026-03-02 19:30:00,node-e,22.74,66.3,26.52,18.95,1
2026-03-02 19:30:00,node-f,23.57,47.7,26.85,20.18,1
2026-03-02 19:45:00,node-a,19.42,62.9,24.03,17.78,0
2026-03-02 19:45:00,node-b,21.59,65.7,24.03,17.71,0
2026-03-02 19:45:00,node-c ,21.62,62.2,25.04,18.21,0
2026-03-02 19:45:00,node-d,22.34,47.0,25.30,18.28,1
2026-03-02 19:45:00,node-e,22.14,65.2,26.52,18.95,0
2026-03-02 19:45:00,node-f,23.52,52.8,26.85,20.18,1
2026-03-02 20:00:00,node-a,19.51,57.6,24.03,17.78,0
2026-03-02 20:00:00, NODE-B ,20.86,64.6,24.03,17.71,0
2026-03-02 20:00:00, NODE-B ,20.86,64.6,24.03,17.71,0
2026-03-02 20:00:00,node-c,21.35,54.2,25.04,18.21,0
2026-03-02 20:00:00,node-d,21.98,58.0,25.30,18.28,0
2026-03-02 20:00:00,node-e,21.27,69.2,26.52,18.95,0
2026-03-02 20:00:00,node-f,,46.0,26.85,20.18,1
2026-03-02 20:15:00,node-a,20.58,77.6,24.03,17.78,0
2026-03-02 20:15:00,node-b,20.47,57.4,24.03,17.71,0
2026-03-02 20:15:00,node-c,21.37,64.0,25.04,18.21,0
2026-03-02 20:15:00,node-d,,41.5,25.30,18.28,0
2026-03-02 20:15:00,node-e,21.64,53.8,26.52,18.95,0
2026-03-02 20:15:00,node-f,22.90,47.5,26.85,20.18,0
2026-03-02 20:30:00,node-a,20.12,,24.03,17.78,0
2026-03-02 20:30:00,node-b,20.75,68.5,24.03,17.71,0
2026-03-02 20:30:00,node-c,20.24,56.5,25.04,18.21,0
2026-03-02 20:30:00,node-d,21.72,63.2,25.30,18.28,0
2026-03-02 20:30:00,node-e,22.99,64.6,26.52,18.95,1
2026-03-02 20:30:00,node-f ,,58.5,26.85,20.18,0
2026-03-02 20:45:00,node-a,20.55,70.8,24.03,17.78,0
2026-03-02 20:45:00,node-b,19.94,66.3,24.03,17.71,0
2026-03-02 20:45:00,node-c,21.05,54.7,25.04,18.21,0
2026-03-02 20:45:00,node-d,21.70,48.9,25.30,18.28,0
2026-03-02 20:45:00, NODE-E ,22.53,62.0,26.52,18.95,1
2026-03-02 20:45:00,node-f,23.49,64.4,26.85,20.18,1
2026-03-02 21:00:00,node-a,20.20,60.2,24.03,17.78,0
2026-03-02 21:00:00,node-b,20.07,70.9,24.03,17.71,0
2026-03-02 21:00:00,node-c,20.58,66.1,25.04,18.21,0
2026-03-02 21:00:00,node-d,21.94,60.9,25.30,18.28,0
2026-03-02 21:00:00,node-e,21.45,59.8,26.52,18.95,0
2026-03-02 21:00:00,node-f,22.21,64.8,26.85,20.18,0
2026-03-02 21:15:00,node-a,20.00,74.2,24.03,17.78,0
2026-03-02 21:15:00,node-b,20.16,63.3,24.03,17.71,0
2026-03-02 21:15:00,node-c,20.28,64.4,25.04,18.21,0
2026-03-02 21:15:00,node-d,20.72,55.2,25.30,18.28,0
2026-03-02 21:15:00,node-e,22.39,53.0,26.52,18.95,0
2026-03-02 21:15:00,node-f,20.81,53.3,26.85,20.18,0
2026-03-02 21:30:00,node-a,19.18,72.2,24.03,17.78,0
2026-03-02 21:30:00,node-b,20.33,65.7,24.03,17.71,0
2026-03-02 21:30:00,NODE-C,21.55,64.4,25.04,18.21,0
2026-03-02 21:30:00,node-d,20.54,53.8,25.30,18.28,0
2026-03-02 21:30:00,node-e,21.62,68.4,26.52,18.95,0
2026-03-02 21:30:00,node-f,22.59,64.7,26.85,20.18,1
2026-03-02 21:45:00,node-a,18.59,71.2,24.03,17.78,0
2026-03-02 21:45:00, NODE-B ,19.15,80.1,24.03,17.71,0
2026-03-02 21:45:00,node-c,20.35,58.9,25.04,18.21,0
2026-03-02 21:45:00,node-d,22.38,62.8,25.30,18.28,0
2026-03-02 21:45:00,node-d,22.38,62.8,25.30,18.28,0
2026-03-02 21:45:00,node-e,21.25,67.9,26.52,18.95,1
2026-03-02 21:45:00,node-f,22.36,59.4,26.85,20.18,0
